dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
source_reference,"{""0"": ""Table 10.5 : State Wise Captive & Commercial Coal Blocks Vested/Allocated upto 2024-25"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null}",1,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": ""Sl. No."", ""1"": ""State where the Block is Located"", ""2"": ""Block Allocated"", ""3"": ""No. of Blocks"", ""4"": ""Extractable Reserve (Qty. in MT)"", ""5"": ""Date of\nAllotment"", ""6"": ""Act"", ""7"": ""Mode of Allocation"", ""8"": ""Name of the Party"", ""9"": ""Type of Company:\nPSU(S)/PSU(C) /Pvt"", ""10"": ""End-use\nPlant""}",2,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": ""1"", ""1"": ""Arunachal Pradesh"", ""2"": ""Namchik Nampuk"", ""3"": 1, ""4"": 14.97, ""5"": ""2023-08-17T00:00:00"", ""6"": ""CMSP"", ""7"": ""Auction"", ""8"": ""Coal Pulz Private Ltd"", ""9"": ""PVT"", ""10"": ""Sale of Coal""}",3,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": 1, ""1"": ""Chhattisgarh"", ""2"": ""Chotia"", ""3"": 1, ""4"": 7.38, ""5"": ""2015-03-23T00:00:00"", ""6"": ""CMSP"", ""7"": ""Auction"", ""8"": ""Bharat Aluminium Company Ltd."", ""9"": ""PVT"", ""10"": ""NRS""}",4,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": 2, ""1"": null, ""2"": ""Gare Palma IV‐4"", ""3"": 1, ""4"": 7.38, ""5"": ""2015-03-23T00:00:00"", ""6"": ""CMSP"", ""7"": ""Auction"", ""8"": ""Hindalco Industries Ltd."", ""9"": null, ""10"": null}",5,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": 3, ""1"": null, ""2"": ""Gare‐Palma Sector‐IV/8"", ""3"": 1, ""4"": 44.3, ""5"": ""2015-04-22T00:00:00"", ""6"": ""CMSP"", ""7"": ""Auction"", ""8"": ""Ambuja Cements Ltd."", ""9"": null, ""10"": null}",6,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": ""4"", ""1"": null, ""2"": ""Talaipalli"", ""3"": 1, ""4"": 842.27, ""5"": ""2015-09-08T00:00:00"", ""6"": ""CMSP"", ""7"": ""Allotment"", ""8"": ""NTPC"", ""9"": ""PSU( C )"", ""10"": ""Power""}",7,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": ""5-6"", ""1"": null, ""2"": ""Parsa East & Kanta Basan"", ""3"": 2, ""4"": 363.23, ""5"": ""2015-03-31T00:00:00"", ""6"": ""CMSP"", ""7"": ""Allotment"", ""8"": ""Rajasthan Rajya Vidyut Utpadan Nigam Ltd."", ""9"": ""PSU(S)"", ""10"": ""Power""}",8,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": ""7"", ""1"": null, ""2"": ""Gare Pelma Sector II"", ""3"": 1, ""4"": 655.15, ""5"": ""2015-08-31T00:00:00"", ""6"": ""CMSP"", ""7"": ""Allotment"", ""8"": ""Maharashtra State Power Generation Co Ltd."", ""9"": null, ""10"": null}",9,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
source_reference,"{""0"": 8, ""1"": null, ""2"": ""Gare Palma  Sector-III"", ""3"": 1, ""4"": 89.43, ""5"": ""2015-09-14T00:00:00"", ""6"": ""CMSP"", ""7"": ""Allotment"", ""8"": ""Chhattisgarh State Power Generation Co Ltd."", ""9"": null, ""10"": null}",10,TB10.5,coal-statistics-coal-directory-chapter-9-employment-and-safety-10,coal_statistics,Coal Directory chapter 9: Employment and safety,https://coal.gov.in/sites/default/files/2024-03/cdchap9.xlsx
